16
>> Train dataset :  data/KsponSpeech/KsponSpeech_train.json
>> Test dataset :  ['data/KsponSpeech/KsponSpeech_test.json']
Loading checkpoint model models/AIHub_train/LSTM_512x3_512x2_AIHub_train/final.pth
Model loaded
Seq2Seq(
  (encoder): EncoderRNN(
    (conv): MaskConv(
      (seq_module): Sequential(
        (0): Conv2d(1, 32, kernel_size=(41, 11), stride=(2, 2), padding=(20, 5))
        (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
        (2): Hardtanh(min_val=0, max_val=20, inplace=True)
        (3): Conv2d(32, 32, kernel_size=(21, 11), stride=(2, 1), padding=(10, 5))
        (4): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
        (5): Hardtanh(min_val=0, max_val=20, inplace=True)
      )
    )
    (rnn): LSTM(1312, 512, num_layers=3, dropout=0.3, bidirectional=True)
  )
  (decoder): DecoderRNN(
    (rnn): LSTM(1536, 512, num_layers=2, batch_first=True, dropout=0.3)
    (embedding): Embedding(2003, 512)
    (input_dropout): Dropout(p=0.3, inplace=False)
    (attention): Attention(
      (conv): Conv1d(1, 512, kernel_size=(3,), stride=(1,), padding=(1,))
      (W): Linear(in_features=512, out_features=512, bias=False)
      (V): Linear(in_features=1024, out_features=512, bias=False)
      (fc): Linear(in_features=512, out_features=1, bias=True)
      (tanh): Tanh()
      (softmax): Softmax(dim=-1)
    )
    (fc): Linear(in_features=1536, out_features=2003, bias=True)
  )
)
Number of parameters: 31523060
Epoch: [1][125/38125]	Loss 0.1369	Cer 57.7519
Epoch: [1][126/38125]	Loss 0.2434	Cer 67.9335
Epoch: [1][127/38125]	Loss 0.2321	Cer 43.0279
Epoch: [1][128/38125]	Loss 0.2020	Cer 29.1667
Epoch: [1][129/38125]	Loss 0.1908	Cer 88.4434
Epoch: [1][130/38125]	Loss 0.1645	Cer 59.2683
Epoch: [1][131/38125]	Loss 0.1352	Cer 118.5965
Epoch: [1][132/38125]	Loss 0.1901	Cer 79.4454
Epoch: [1][133/38125]	Loss 0.1655	Cer 88.4131
Epoch: [1][134/38125]	Loss 0.1415	Cer 113.3758
Epoch: [1][135/38125]	Loss 0.2849	Cer 35.7923
Epoch: [1][136/38125]	Loss 0.2620	Cer 43.7063
Epoch: [1][137/38125]	Loss 0.1446	Cer 15.4971
Epoch: [1][138/38125]	Loss 0.1348	Cer 90.6137
Epoch: [1][139/38125]	Loss 0.1333	Cer 18.6192
Epoch: [1][140/38125]	Loss 0.1014	Cer 61.7949
Epoch: [1][141/38125]	Loss 0.1649	Cer 45.3252
Epoch: [1][142/38125]	Loss 0.1632	Cer 46.1255
Epoch: [1][143/38125]	Loss 0.3382	Cer 62.7010
Epoch: [1][144/38125]	Loss 0.1256	Cer 102.3739
Epoch: [1][145/38125]	Loss 0.1961	Cer 52.2843
Epoch: [1][146/38125]	Loss 0.1953	Cer 106.5263
Epoch: [1][147/38125]	Loss 0.1802	Cer 97.1787
Epoch: [1][148/38125]	Loss 0.1397	Cer 113.3945
Epoch: [1][149/38125]	Loss 0.2439	Cer 71.2000
Epoch: [1][150/38125]	Loss 0.2673	Cer 94.2623
Epoch: [1][151/38125]	Loss 0.1769	Cer 38.9006
Epoch: [1][152/38125]	Loss 0.1742	Cer 64.2032
Epoch: [1][153/38125]	Loss 0.2736	Cer 47.6821
Epoch: [1][154/38125]	Loss 0.1935	Cer 41.6880
Epoch: [1][155/38125]	Loss 0.4146	Cer 51.9380
Epoch: [1][156/38125]	Loss 0.1701	Cer 64.6259
Epoch: [1][157/38125]	Loss 0.2047	Cer 35.2025
Epoch: [1][158/38125]	Loss 0.2022	Cer 101.9048
Epoch: [1][159/38125]	Loss 0.3153	Cer 76.7925
Epoch: [1][160/38125]	Loss 0.2248	Cer 75.3937
Epoch: [1][161/38125]	Loss 0.1682	Cer 68.6567
Epoch: [1][162/38125]	Loss 0.1637	Cer 125.0000
Epoch: [1][163/38125]	Loss 0.1359	Cer 62.2785
Epoch: [1][164/38125]	Loss 0.1752	Cer 65.7331
Epoch: [1][165/38125]	Loss 0.2999	Cer 23.9884
Epoch: [1][166/38125]	Loss 0.2741	Cer 30.4673
Epoch: [1][167/38125]	Loss 0.2112	Cer 40.5204
Epoch: [1][168/38125]	Loss 0.2115	Cer 55.4878
Epoch: [1][169/38125]	Loss 0.2414	Cer 84.6512
Epoch: [1][170/38125]	Loss 0.2120	Cer 69.4352
Epoch: [1][171/38125]	Loss 0.1894	Cer 165.3710
Epoch: [1][172/38125]	Loss 0.2724	Cer 48.3491
Epoch: [1][173/38125]	Loss 0.1401	Cer 200.0000
Epoch: [1][174/38125]	Loss 0.2955	Cer 72.3971
Epoch: [1][175/38125]	Loss 0.1322	Cer 23.0769
Epoch: [1][176/38125]	Loss 0.2406	Cer 94.4606
Epoch: [1][177/38125]	Loss 0.1937	Cer 43.5597
Epoch: [1][178/38125]	Loss 0.1986	Cer 41.2470
Epoch: [1][179/38125]	Loss 0.1348	Cer 223.6515
Epoch: [1][180/38125]	Loss 0.1190	Cer 70.6790
Epoch: [1][181/38125]	Loss 0.3572	Cer 58.8378
Epoch: [1][182/38125]	Loss 0.2031	Cer 48.9712
Epoch: [1][183/38125]	Loss 0.1066	Cer 67.5926
Epoch: [1][184/38125]	Loss 0.2118	Cer 22.5389
Epoch: [1][185/38125]	Loss 0.2410	Cer 65.6522
Epoch: [1][186/38125]	Loss 0.2182	Cer 76.6667
Epoch: [1][187/38125]	Loss 0.2850	Cer 46.9169
Epoch: [1][188/38125]	Loss 0.1292	Cer 98.1366
Epoch: [1][189/38125]	Loss 0.2777	Cer 66.4141
Epoch: [1][190/38125]	Loss 0.2554	Cer 24.7978
Epoch: [1][191/38125]	Loss 0.1190	Cer 22.0745
Epoch: [1][192/38125]	Loss 0.3042	Cer 44.0729
Epoch: [1][193/38125]	Loss 0.3277	Cer 35.4515
Epoch: [1][194/38125]	Loss 0.1964	Cer 117.0569
Epoch: [1][195/38125]	Loss 0.2992	Cer 31.1164
Epoch: [1][196/38125]	Loss 0.1411	Cer 78.1385
Epoch: [1][197/38125]	Loss 0.2969	Cer 70.0234
Epoch: [1][198/38125]	Loss 0.2874	Cer 59.3220
Epoch: [1][199/38125]	Loss 0.2795	Cer 40.5573
Epoch: [1][200/38125]	Loss 0.2027	Cer 44.6203
Epoch: [1][201/38125]	Loss 0.2201	Cer 107.3171
Epoch: [1][202/38125]	Loss 0.3503	Cer 67.0707
Epoch: [1][203/38125]	Loss 0.1189	Cer 22.0779
Epoch: [1][204/38125]	Loss 0.1437	Cer 62.8297
Epoch: [1][205/38125]	Loss 0.1533	Cer 192.0635
Epoch: [1][206/38125]	Loss 0.2514	Cer 47.0779
Epoch: [1][207/38125]	Loss 0.3000	Cer 73.5849
Epoch: [1][208/38125]	Loss 0.2196	Cer 66.8555
Epoch: [1][209/38125]	Loss 0.2102	Cer 19.9336
Epoch: [1][210/38125]	Loss 0.3037	Cer 41.0138
Epoch: [1][211/38125]	Loss 0.1984	Cer 125.9259
Epoch: [1][212/38125]	Loss 0.2773	Cer 68.2720
Epoch: [1][213/38125]	Loss 0.3948	Cer 70.5628
Epoch: [1][214/38125]	Loss 0.3330	Cer 43.8953
Epoch: [1][215/38125]	Loss 0.1375	Cer 47.6744
Epoch: [1][216/38125]	Loss 0.2046	Cer 64.7368
Epoch: [1][217/38125]	Loss 0.1499	Cer 154.0268
Epoch: [1][218/38125]	Loss 0.2175	Cer 20.5797
