16
>> Train dataset :  data/KsponSpeech/KsponSpeech_train.json
>> Test dataset :  ['data/KsponSpeech/KsponSpeech_eval_clean.json']
Seq2Seq(
  (encoder): EncoderRNN(
    (conv): MaskConv(
      (seq_module): Sequential(
        (0): Conv2d(1, 32, kernel_size=(41, 11), stride=(2, 2), padding=(20, 5))
        (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
        (2): Hardtanh(min_val=0, max_val=20, inplace=True)
        (3): Conv2d(32, 32, kernel_size=(21, 11), stride=(2, 1), padding=(10, 5))
        (4): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
        (5): Hardtanh(min_val=0, max_val=20, inplace=True)
      )
    )
    (rnn): LSTM(1312, 512, num_layers=3, dropout=0.3, bidirectional=True)
  )
  (decoder): DecoderRNN(
    (rnn): LSTM(1536, 512, num_layers=2, batch_first=True, dropout=0.3)
    (embedding): Embedding(2003, 512)
    (input_dropout): Dropout(p=0.3, inplace=False)
    (attention): Attention(
      (conv): Conv1d(1, 512, kernel_size=(3,), stride=(1,), padding=(1,))
      (W): Linear(in_features=512, out_features=512, bias=False)
      (V): Linear(in_features=1024, out_features=512, bias=False)
      (fc): Linear(in_features=512, out_features=1, bias=True)
      (tanh): Tanh()
      (softmax): Softmax(dim=-1)
    )
    (fc): Linear(in_features=1536, out_features=2003, bias=True)
  )
)
Number of parameters: 31523060
Epoch: [1][129/38750]	Loss 1.0728	Cer 437.2642
Epoch: [1][130/38750]	Loss 1.0016	Cer 492.6829
Epoch: [1][131/38750]	Loss 1.1462	Cer 403.5088
Epoch: [1][132/38750]	Loss 1.2735	Cer 311.4192
Epoch: [1][133/38750]	Loss 1.0211	Cer 471.0327
Epoch: [1][134/38750]	Loss 1.0846	Cer 380.2548
Epoch: [1][135/38750]	Loss 1.7099	Cer 206.0109
Epoch: [1][136/38750]	Loss 1.7993	Cer 234.2657
Epoch: [1][137/38750]	Loss 1.4777	Cer 246.7836
Epoch: [1][138/38750]	Loss 0.9048	Cer 383.7545
Epoch: [1][139/38750]	Loss 1.1144	Cer 391.8410
Epoch: [1][140/38750]	Loss 0.7510	Cer 543.0769
Epoch: [1][141/38750]	Loss 1.1676	Cer 379.2683
Epoch: [1][142/38750]	Loss 1.1562	Cer 331.5498
Epoch: [1][143/38750]	Loss 1.8704	Cer 235.0482
Epoch: [1][144/38750]	Loss 0.7405	Cer 613.0564
Epoch: [1][145/38750]	Loss 1.1261	Cer 385.2792
Epoch: [1][146/38750]	Loss 1.2976	Cer 311.1579
Epoch: [1][147/38750]	Loss 1.2168	Cer 389.3417
Epoch: [1][148/38750]	Loss 0.8103	Cer 456.6972
Epoch: [1][149/38750]	Loss 1.6400	Cer 206.1333
Epoch: [1][150/38750]	Loss 1.2737	Cer 334.8361
Epoch: [1][151/38750]	Loss 1.0359	Cer 253.6998
Epoch: [1][152/38750]	Loss 1.2999	Cer 250.8083
Epoch: [1][153/38750]	Loss 1.5595	Cer 210.5960
Epoch: [1][154/38750]	Loss 1.4786	Cer 224.5524
Epoch: [1][155/38750]	Loss 1.9116	Cer 190.1809
Epoch: [1][156/38750]	Loss 0.9117	Cer 535.0340
Epoch: [1][157/38750]	Loss 1.3873	Cer 284.7352
Epoch: [1][158/38750]	Loss 1.0040	Cer 348.9524
Epoch: [1][159/38750]	Loss 1.7628	Cer 227.3585
Epoch: [1][160/38750]	Loss 1.2290	Cer 343.7008
Epoch: [1][161/38750]	Loss 0.8223	Cer 638.8060
Epoch: [1][162/38750]	Loss 0.9792	Cer 469.2935
Epoch: [1][163/38750]	Loss 0.8363	Cer 581.2658
Epoch: [1][164/38750]	Loss 1.0621	Cer 399.0115
Epoch: [1][165/38750]	Loss 2.0075	Cer 209.8266
Epoch: [1][166/38750]	Loss 1.8083	Cer 200.5607
Epoch: [1][167/38750]	Loss 1.2096	Cer 388.8476
Epoch: [1][168/38750]	Loss 1.0909	Cer 337.8049
Epoch: [1][169/38750]	Loss 1.1973	Cer 324.8837
